RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2024,11740,강동구,10600,둔촌동,1,대지,0170,0001,올림픽파크 포레온,2024-11-08,275417,109.98,0.000000,16,입주권,,0,아파트,중개거래,서울 강동구
2024,11440,마포구,12200,합정동,1,대지,0382,0020,스퀘어리버뷰합정,2024-11-08,48500,28.563,41.845000,8,,,2021,오피스텔,중개거래,서울 마포구
2024,11710,송파구,10400,송파동,1,대지,0041,0015,(41-15),2024-11-08,32300,28.44,15.000000,2,,,2018,연립다세대,중개거래,서울 송파구
2024,11500,강서구,10500,마곡동,1,대지,0793,0000,유림트윈파크,2024-11-08,11900,19.99,30.300000,2,,,2015,오피스텔,중개거래,서울 강서구
2024,11740,강동구,10700,암사동,1,대지,0458,0043,엘림하우스,2024-11-08,39400,55.15,33.000000,3,,,2020,연립다세대,중개거래,서울 강동구
2024,11230,동대문구,11000,이문동,3,블럭,0149,0008,이문 아이파크 자이,2024-11-08,29564,20.8,0.000000,11,분양권,,0,아파트,직거래,
2024,11680,강남구,10400,청담동,1,대지,0134,0038,청담자이,2024-11-08,450000,89.356,0.000000,34,,,2011,아파트,중개거래,서울 강남구
2024,11500,강서구,10200,등촌동,1,대지,0639,0008,ACE A-ZONE,2024-11-08,37100,65.8,86.080000,4,,,2005,오피스텔,직거래,
2024,11710,송파구,11300,거여동,1,대지,0178,0139,인투파크거여,2024-11-08,37500,29.97,14.000000,11,,,2020,연립다세대,중개거래,서울 송파구
2024,11530,구로구,10200,구로동,1,대지,0088,0008,가나아델리움(88-8외),2024-11-08,30800,40.83,24.000000,2,,,2016,연립다세대,중개거래,서울 구로구
2024,11260,중랑구,10100,면목동,,,,,,2024-11-08,68000,123.62,72.000000,,,,1989,단독다가구,중개거래,서울 중랑구
2024,11215,광진구,10300,구의동,1,대지,0223,0011,강변SM더힐,2024-11-08,43500,47.38,29.000000,6,,,2018,연립다세대,중개거래,서울 광진구
2024,11620,관악구,10200,신림동,1,대지,0598,0142,행복빌라,2024-11-08,20000,39.42,16.000000,4,,,1993,연립다세대,중개거래,서울 관악구
2024,11470,양천구,10100,신정동,1,대지,0312,0000,목동신시가지9,2024-11-08,170000,71.37,0.000000,6,,,1987,아파트,중개거래,서울 양천구
2024,11440,마포구,12200,합정동,1,대지,0434,0030,삼성주택(434-30),2024-11-08,31000,48.02,24.000000,2,,,1996,연립다세대,중개거래,경기 성남시 수정구
2024,11350,노원구,10400,하계동,1,대지,0271,0003,극동,2024-11-08,37100,55.72,0.000000,8,,,1988,아파트,직거래,
2024,11230,동대문구,10600,장안동,1,대지,0373,0003,현대썬앤빌601,2024-11-07,10500,21.03,30.083000,15,,,2015,오피스텔,중개거래,서울 동대문구
2024,11620,관악구,10200,신림동,1,대지,0598,0084,로얄하이츠,2024-11-07,19000,31.07,17.000000,3,,,2016,연립다세대,중개거래,서울 영등포구
2024,11710,송파구,10800,문정동,1,대지,0150,0000,올림픽훼밀리타운,2024-11-07,232500,192.235,0.000000,6,,,1988,아파트,직거래,
2024,11260,중랑구,10400,묵동,1,대지,0121,0137,한두빌라,2024-11-07,24000,56.71,25.000000,1,,,1995,연립다세대,직거래,
2024,11260,중랑구,10300,중화동,1,대지,0309,0094,(309-94),2024-11-07,34000,25.57,18.000000,2,,,2021,연립다세대,중개거래,서울 중랑구
2024,11440,마포구,11000,노고산동,1,대지,0012,0027,예담빌서강5차,2024-11-07,35000,18.85,16.000000,3,,20241112,2020,연립다세대,중개거래,서울 서대문구
2024,11470,양천구,10300,신월동,1,대지,0242,0014,더에스케이빌리지,2024-11-07,17400,29.99,18.000000,3,,,2012,연립다세대,중개거래,서울 양천구
2024,11500,강서구,10200,등촌동,1,대지,0515,0044,두보하이츠빌라,2024-11-07,46500,71.28,65.000000,2,,,1988,연립다세대,중개거래,서울 강서구
2024,11470,양천구,10300,신월동,1,대지,0931,0011,중앙(가동),2024-11-07,13000,43.55,28.000000,-1,,,1986,연립다세대,중개거래,서울 양천구
2024,11710,송파구,11100,방이동,1,대지,0105,0008,허니빌,2024-11-07,18400,18.76,12.000000,5,,,2007,연립다세대,직거래,
2024,11680,강남구,10400,청담동,1,대지,0134,0038,청담자이,2024-11-07,410000,89.356,0.000000,17,,,2011,아파트,중개거래,서울 강남구
2024,11710,송파구,10700,가락동,1,대지,0098,0000,송파가락두산위브센티움,2024-11-07,15000,29.3,37.210000,4,,,2004,오피스텔,직거래,
